".*\(iSeries\).*" ::DELIM::  "IBM i5/OS iSeries (OS/400)"
".*\(Mandrake Linux/\d+\.\d+\.92mdk\).*" ::DELIM::  "Mandriva (formerly Mandrake) Linux 9.2"
".*\(Mandrake Linux/\d+\.\d+\.100mdk\).*" ::DELIM::  "Mandriva (formerly Mandrake) Linux 10.0"
".*\((?:Mandrake|Mandriva) Linux/.*" ::DELIM::  "Mandriva (formerly Mandrake) Linux unknown version"
".*\(Mandrakelinux/.*" ::DELIM::  "Mandriva (formerly Mandrake) Linux unknown version"
".*\(PalmOS\).*" ::DELIM::  "PalmOS"
".*\(Win32\).*" ::DELIM::  "Microsoft Windows"
".*\(Darwin\).*" ::DELIM::  "Apple Mac OS X"
".*\(Ubuntu\).*" ::DELIM::  "Ubuntu"
".*(?:Sun )?Cobalt \(Unix\)?.*" ::DELIM::  "Sun Cobalt RaQ (Red Hat based Linux)"
".*\(BlueQuartz\).*" ::DELIM::  "Blue Quartz is created by a Cobalt RaQ UG"
"^Apache\/2\.2\.11.*\(Fedora\).*" ::DELIM::  "Red Hat Fedora 11"
"^Apache\/2\.2\.15.*\(Fedora\).*" ::DELIM::  "Red Hat Fedora 13"
"^Apache\/2\.2\.16.*\(Fedora\).*" ::DELIM::  "Red Hat Fedora 14"
"^Apache\/2\.2\.23.*\(Fedora\).*" ::DELIM::  "Red Hat Fedora 17"
"^Apache\/2\.4\.3.*\(Fedora\).*" ::DELIM::  "Red Hat Fedora 18"
".*\(Fedora\).*" ::DELIM::  "Red Hat Fedora"
".*\(RHEL\).*" ::DELIM::  "Red Hat Fedora"
".*\(Red[ -]Hat(?:[/ ]Linux)?\).*" ::DELIM::  "Red Hat Linux"
".*Debian(?:[/ ]GNU)?(?:/Linux)?.*" ::DELIM::  "Debian Linux"
".*\((?:Linux/)?S[uU]SE(?:/Linux)?\).*" ::DELIM::  "Novell SuSE Linux"
".*\(NETWARE\).*" ::DELIM::  "Novell NetWare"
".*HP-UX_Apache-based_Web_Server.*" ::DELIM::  "HP HP-UX"
".*\(CentOS\).*" ::DELIM::  "CentOS Linux"
".*\(Turbolinux\).*" ::DELIM::  "Turbolinux"
".*\(FreeBSD\).*" ::DELIM::  "FreeBSD"
".*\(Asianux\).*" ::DELIM::  "Asianux Linux"
".*\(Gentoo(?:/Linux)?\).*" ::DELIM::  "Gentoo Linux"
".*\(Conectiva(?:/Linux)?\).*" ::DELIM::  "CentOS Linux"
".*\(Trustix Secure Linux(?:/Linux)?\).*" ::DELIM::  "CentOS Linux"
".*\(White Box\).*" ::DELIM::  "White Box Enterprise Linux"
".*\(UnitedLinux\).*" ::DELIM::  "UnitedLinux"
".*\(PLD/Linux\).*" ::DELIM::  "PLD Linux"
".*\(Vine/Linux\).*" ::DELIM::  "Vine Linux"
".*\(rPath\).*" ::DELIM::  "rPath Linux"
".*\(StartCom Linux\).*" ::DELIM::  "StartCom Linux"
".*Linux.*" ::DELIM::  "Generic Linux fallback"
"^(9.[^-]+(?:-rpz\d?[+.]rl[\d.]+)?(?:-[SP]\d)?)-RedHat-[\d.]+[-.][\w.]+el([\d]+)_?(\d*)(?:.[\w.]+)?$" ::DELIM::  "ISC BIND: Red Hat Enterprise Linux"
"^(9.[^-]+(?:-rl[.\d]+)?(?:-[SP]\d)?)-RedHat-[\d.]+-[\w.]+fc([\d]+)$" ::DELIM::  "ISC BIND: Fedora"
"^(9.[^-]+(?:-[SP]\d)?)-RedHat-[\w.-]+amzn1$" ::DELIM::  "ISC BIND: Red Hat - Amazon hosted"
"(9.[^-]+(?:-[SP]\d)?)-RedHat-[\w.-]+alios([\d\.]+)$" ::DELIM::  "ISC BIND: Red Hat - Alibaba Customized EL"
"^(9.[^-]+(?:rc\d)?(?:-[SP]\d)?)-RedHat-[\d.-]+(?:[-\.][SP]\d)?(?:rc[\d\.]+)?$" ::DELIM::  "ISC BIND: Red Hat nonspecific platform"
"^(9.[^-]+(?:-[SP]\d)?)-[\d.]+ubuntu[\d.]+-Ubuntu$" ::DELIM::  "ISC BIND: Ubuntu"
"^(9.[^-]+-rpz\d?[+.]rl[\d.]+(?:-[SP]\d)?)-Ubuntu-[\d\.:]+[\w\.]+(?:-[SP]\d)?-\d?ubuntu[\d\.]+$" ::DELIM::  "ISC BIND: Ubuntu with Response Policy Zone and Request Limiting patches"
"^(9.[^-]+(?:-[SP]\d)?)(?:-[\d\.]+)?-Ubuntu$" ::DELIM::  "ISC BIND: Ubuntu short"
"^(9.[\d\.]+(?:[+-]rpz\d?[+.]rl[\d.]+)?(?:-[SP]\d)?).*[+-]zentyal\d*" ::DELIM::  "ISC BIND: Ubuntu Zentyal custom distribution"
